iter	Passed	Remaining
0	412	411687
1	573	286128
2	627	208703
3	729	181731
4	845	168272
5	916	151902
6	1237	175533
7	1263	156674
8	1346	148215
9	1451	143674
10	1472	132347
11	1695	139558
12	1781	135234
13	1794	126360
14	1805	11816	115	1918	11717	1936	105639
18	117	2106	114896
18	2265	116959
19	2279	111682
20	2317	1022	2391	101585
23	2499	101659
24	223	2622	106655
24	2676	104394
25	3063	114748
26	3115	112278
27	3146	109219
28	3213	107599
29	3241	104793
30	3274	102367
31	3371	101987
32	3648	106922
33	3748	106513
34	3849	106139
35	3910	104706
36	3958	103021
37	3987	100955
38	4035	99444
39	4061	97474
40	4323	101138
41	4385	44	4612	97890
45	4666	96788
46	4700	95303
47	474345	4798	99521
46	484349	504947	489750	509348	496751	522849	511552	531350	519953	535751	5370	97912
52	545055	561253	550456	5729	94788
57	5858	95148
58	5956	95005
59	6061	94961
60	6179	95128
61	6275	94947
62	6350	94445
63	638961	6318	95598
62	6338	94272
63	637866	658164	647367	666665	656168	671466	667869	6960	92475
70	7097	92864
71	7148	92132
72	7492	95141
73	7531	94239
74	7558	93222
75	7581	92170
76	7626	91413
77	7660	90548
78	7974	92969
79	7997	91974
80	8020	91002
81	8119	90901
82	8229	90917
83	8239	89852
84	8418	90619
85	8452	89835
86	8503	89242
87	8593	89056
88	8653	88575
89	8692	87888
90	8878	88685
91	8966	88498
92	9131	89056
93	9204	88718
94	9358	89151
95	9398	88500
96	9407	87574
97	9433	86829
98	9449	85999
99	9474	85271
100	9706	86395
101	9721	85590
102	9743	84851
103	9783	84285
104	9843	83901
105	9883	83358
106	10103	84319
107	10183	84104
108	10354	84644
109	10460	84633
110	10548	84486
111	10608	84112
112	10774	84576
113	10820	84094
114	10859	83569
115	10883	82942
116	11032	83258
117	11057	82649
118	11225	83108
119	11266	82620
120	11296	82064
121	11322	81484
122	11408	81340
123	11463	80981
124	11471	80301
125	11670	80954
126	11719	80557
127	11749	80043
128	11782	79556
129	11823	79126
130	11836	78518
131	12141	79836
132	12160	79271
133	12181	78727
134	12194	78133
135	12207	77551
136	12311	77554
137	12623	78850
138	12690	78609
139	12829	78811
140	12935	78806
141	13014	78637
142	13065	78299
143	13072	77707
144	13259	78185
145	13349	78082
146	13398	77744
147	13527	77874
148	13547	77375
149	13577	76938
150	13632	76647
151	13666	76245
152	13699	75837
153	13727	75409
154	13768	75062
155	13840	74881
156	13900	74635
157	13954	74363
158	14013	74121
159	1403161	14265	73793
162	14420	74047
163	14527	74055
164	14597	73871
165	14760	74157
166	14827	73959
167	14945	74016
168	15048	73996
169	15262	74517
170	15312	74236
171	15385	74065
172	15426	73743
173	15448	73336
174	15755	74277
175	15780	73880
176	15803	73482
177	15904	73448
178	16022	73487
179	16048	73111
180	16092	72816
181	16247	73024
182	16339	72949
183	16402	72741
184	16437	72414
185	16478	72116
186	16488	71685
187	16668	71992
188	16736	71814
189	16781	71543
190	16810	71203
